[['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']][['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']][['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
 ['0.0' '0.0' '0.0' '2022-06-03']
